run,best,mean,completion,crashes,best_lap,fitness,reward,progress
1,24.848085675844516,-0.9854394459226269,0.0,0.4583333333333333,,24.848085675844516,,0.32308085675844517
2,25.011010736129492,11.586630108977467,0.0,0.7916666666666666,,25.011010736129492,,0.32471010736129496
3,43.71007957432608,11.944488114461095,0.0,0.6666666666666666,,43.71007957432608,,0.5496007957432608
4,44.77360182862233,16.658671222683434,0.0,0.7916666666666666,,44.77360182862233,,0.5647860182862233
5,46.11807534016156,17.85233043354043,0.0,0.7916666666666666,,46.11807534016156,,0.5736807534016156
6,46.11807534016156,19.30385324791626,0.0,0.7083333333333334,,46.11807534016156,,0.5736807534016156
7,46.11807534016156,18.23261559471535,0.0,0.8333333333333334,,46.11807534016156,,0.5736807534016156
8,46.11807534016156,17.964273589320648,0.0,0.875,,46.11807534016156,,0.5736807534016156
9,46.11807534016156,14.588535265516851,0.0,0.8333333333333334,,46.11807534016156,,0.5736807534016156
10,46.314411358639624,18.83920090506434,0.0,0.8333333333333334,,46.314411358639624,,0.5743441135863963
11,46.314411358639624,14.893849524614614,0.0,0.7916666666666666,,46.314411358639624,,0.5743441135863963
12,46.314411358639624,18.54338158219089,0.0,0.875,,46.314411358639624,,0.5743441135863963
13,46.314411358639624,24.05434020794873,0.0,0.9583333333333334,,46.314411358639624,,0.5743441135863963
14,46.314411358639624,19.669171506749652,0.0,0.875,,46.314411358639624,,0.5743441135863963
15,50.57047736564778,21.80348599062955,0.0,0.875,,50.57047736564778,,0.5953047736564778
16,226.0942687947864,30.609015162484482,0.041666666666666664,0.9583333333333334,425,226.0942687947864,,1.0
17,269.7585688314892,44.91006399323707,0.125,0.75,421,269.7585688314892,,1.0
18,275.06757042016665,61.04337984353074,0.16666666666666666,0.8333333333333334,407,275.06757042016665,,1.0
19,275.06757042016665,69.62648431490335,0.20833333333333334,0.8333333333333334,407,275.06757042016665,,1.0
20,275.06757042016665,88.41262623387297,0.25,0.75,407,275.06757042016665,,1.0
21,275.06757042016665,137.26782936338816,0.4583333333333333,0.5833333333333334,407,275.06757042016665,,1.0
22,278.751811208912,194.9743722598665,0.7083333333333334,0.4166666666666667,398,278.751811208912,,1.0
23,278.751811208912,140.24333081180427,0.4583333333333333,0.5833333333333334,398,278.751811208912,,1.0
24,278.751811208912,139.1124747780669,0.4583333333333333,0.75,396,278.751811208912,,1.0
25,278.751811208912,159.3242938761388,0.5416666666666666,0.5416666666666666,398,278.751811208912,,1.0
26,278.751811208912,176.4899436245937,0.625,0.4583333333333333,398,278.751811208912,,1.0
27,278.751811208912,151.39268046947586,0.5,0.5833333333333334,396,278.751811208912,,1.0
28,278.751811208912,160.55235969039396,0.5416666666666666,0.5,398,278.751811208912,,1.0
29,278.751811208912,182.44776211484933,0.625,0.4166666666666667,396,278.751811208912,,1.0
30,278.751811208912,87.55439615203234,0.25,0.7916666666666666,398,278.751811208912,,1.0
