run,best,mean,completion,crashes,best_lap,fitness,reward,progress
1,20.315731051521997,-1.0892698072072737,0.0,0.6666666666666666,,20.315731051521997,,0.27850731051522
2,25.614779417420785,11.633968174468505,0.0,0.75,,25.614779417420785,,0.33029779417420785
3,25.940835516016726,13.646423428269358,0.0,0.8333333333333334,,25.940835516016726,,0.33400835516016725
4,26.09278853539578,15.304548296902931,0.0,0.9583333333333334,,26.09278853539578,,0.3359778853539578
5,27.303092531540123,13.679158335337945,0.0,0.75,,27.303092531540123,,0.3483809253154012
6,47.09697017983773,15.879763948443598,0.0,0.7916666666666666,,47.09697017983773,,0.5589197017983774
7,47.09697017983773,16.21696690325408,0.0,0.8333333333333334,,47.09697017983773,,0.5589197017983774
8,279.93409635647504,44.51126266978061,0.08333333333333333,0.8333333333333334,397,279.93409635647504,,1.0
9,279.93409635647504,71.92636970382843,0.20833333333333334,0.5,397,279.93409635647504,,1.0
10,279.93409635647504,64.10842210049164,0.16666666666666666,0.5833333333333334,397,279.93409635647504,,1.0
11,279.93409635647504,60.983250281445464,0.16666666666666666,0.625,397,279.93409635647504,,1.0
12,279.93409635647504,96.36766729584637,0.2916666666666667,0.4583333333333333,397,279.93409635647504,,1.0
13,279.93409635647504,74.3206482178461,0.20833333333333334,0.75,397,279.93409635647504,,1.0
14,279.93409635647504,87.64068496667208,0.25,0.75,397,279.93409635647504,,1.0
15,280.0522217619584,120.64236664174894,0.4166666666666667,0.5833333333333334,396,280.0522217619584,,1.0
16,280.0522217619584,143.33285868578085,0.5,0.5,397,280.0522217619584,,1.0
17,280.0522217619584,109.64152764592497,0.375,0.5833333333333334,397,280.0522217619584,,1.0
18,280.0522217619584,79.30619346745904,0.25,0.4166666666666667,397,280.0522217619584,,1.0
19,280.0522217619584,107.72101389876319,0.375,0.5833333333333334,397,280.0522217619584,,1.0
20,280.0522217619584,70.79994973251881,0.20833333333333334,0.625,397,280.0522217619584,,1.0
21,280.0522217619584,86.27494584445323,0.2916666666666667,0.5833333333333334,397,280.0522217619584,,1.0
22,280.0522217619584,97.74148780005038,0.2916666666666667,0.6666666666666666,397,280.0522217619584,,1.0
23,280.0522217619584,101.67919346207782,0.3333333333333333,0.5833333333333334,397,280.0522217619584,,1.0
24,280.0522217619584,80.23496971677429,0.2916666666666667,0.375,397,280.0522217619584,,1.0
25,280.0522217619584,91.83960176198366,0.2916666666666667,0.5833333333333334,397,280.0522217619584,,1.0
26,280.0522217619584,154.61932906037387,0.5416666666666666,0.4166666666666667,397,280.0522217619584,,1.0
27,280.0522217619584,130.51186406380126,0.4583333333333333,0.5,396,280.0522217619584,,1.0
28,280.0522217619584,145.7904374970777,0.4583333333333333,0.5833333333333334,397,280.0522217619584,,1.0
29,280.0522217619584,124.02283937090448,0.4166666666666667,0.4583333333333333,398,280.0522217619584,,1.0
30,280.0522217619584,148.163158450063,0.4583333333333333,0.5416666666666666,397,280.0522217619584,,1.0
